2akf:B:B1	B_B D452 E456
2qgs:A:A1	A_A H29 H59 D123
8amy:A:A1	A_A E14 H42
1y93:A:A1_A2	A_A H218 H222 H228:A_A H168 D170 H183 H196
5ly0:A:A1	A_A C28 C31 C38 C42
1r23:A:B1	A_B D104 H106
3fvz:A:A1	A_A H585 Y654 H690 H786
3rhg:A:A1_A2	A_A H23 H25 E166 D294:A_A E166 H199 H229
6dk9:F:F1	F_F H55 H88 D89
6mdw:A:A1_A2	A_A C169 C173 H201 C205:A_A H111 H115 H130
6v9p:A:A1_A2	A_A C128 C131 C150 H153:A_A C163 C181
4gx0:A:A1	A_A H359 C364 H391
4b7y:C:C1_C2	C_C C44 C47 C67:C_C C62 H64 C81 C84
1t0b:G:G1	G_G H101 E153 H199
6kq1:A:A1_A2	A_A D2 E4:A_A K10 E70
1vyk:A:A1_A2	A_A K63 D67 E131:A_A H120 E129
3pw3:A:A1	A_A C56 H340
4jiu:A:A1	A_A H60 H64 H72 V105
8alz:A:A1_A2	A_A C171 C173 H178 C192:A_A C184 C187 C203
3o14:A:A1	A_A H58 H60 E64 H94
6m2i:A:A1	A_A D36 H38 H213 E267 D340
1m55:A:A1_A2	A_A E82 H89 H91:A_A Q73 E95
5tw4:B:B1_B2	B_B E336 H382:B_B E336 H382
6nyd:C:C1_C2_C3	C_C C95 H100:C_C H30 E32:C_C E51 H56
4uvq:A:A1	A_A E977 H1087 H1090
1vsr:A:A1	A_A C66 H71 C73 C117
2b9d:A:A1	A_A C52 C55 C85 C88
5g3y:A:A1	A_A C130 C133 C150 C153
3mp2:A:A1	A_A C103 C105 C131 C134
1u19:A:A1_A2_A3_A4	A_A E201 Q279:A_A K311 G329 D330:A_A E122 W126 M163 H211:A_A H195 E197
1sed:A:A1	A_A E52 E55
8jsz:A:A1	A_A C221 C223 C260 H263
7sp0:B:B1	B_B H483 E489
5ja5:A:A1	A_A H183 C186 H202 C204
7ob9:I:I1	I_I C20 C38 C41
7cff:A:A1	A_A E63 E66
4rhz:A:A1	A_A H79 H132
4lw9:A:A1_A2_A3	A_A E44 D48:A_A E139 H142 H144:A_A H140 H141
7agm:A:A1	A_A H51 E86 H141
1lr5:A:A1	A_A H57 H59 E63 H106
5ve9:C:C1	C_C D7186 C7188
3k6i:A:A1	A_A S1 E28 D88
